eventID,Caption
Aircraft,飞机起飞后头等舱内开始行动
GunWar3,雪地里与Fischer的潜意识卫队交战
Kidnapping,行动组绑架了Fischer从而与他交谈
GunWar1,Fischer的潜意识卫队突然发动进攻
Cheat,Cobb通过欺骗取得Fischer的信任
ShoootingC3,Cobb射杀了Mal但已经晚了一步
Home,事成后Cobb的指控由Saito解除并与家人团聚
DeathC_x5F_LimboM,Cobb与Mal一同卧轨自杀回到现实
DeathC_x5F_LimboS,Cobb成功说服Saito从Limbo回到现实
DeathC1,Cobb在第一层梦境中溺亡
Nash_1_,Nash使梦中的Cobb跌入水中
Yusuf_1_,Yusur驾驶车辆冲下大桥落入水中
Eames_1_,Eames布置炸药炸毁所在堡垒
KickA,Arthur用爆炸使电梯震荡
DeathA,Arthur被Cobb击毙
DeathS_x5F_Limbo,年迈的Saito被Cobb说服从Limbo回到现实
DeathS_x5F_S2,Saito在建筑物倒塌时被砸身亡较先醒来
DeathS_1_,Saito在激战中重伤而死
Ariadne_2_,Ariadne在失实梦境中被Mal刺死
ShootingA,Ariadne随机应变，对Mal射击
ShoootingM3,Mal对Fischer射击
InceptionM,永不停止的陀螺使Mal怀疑一切，决定回到现实
KidnappingM,Mal将Fischer绑架到住所，藏在门廊上
DeathM_x5F_Reality,Mal不相信现实而跳楼自杀，为使Cobb陪同自己将死因归给Cobb
DeathM_x5F_Limbo,Cobb与Mal一同卧轨自杀回到现实
Fischer_1_,保险柜的风车使Fischer决定解散家业，做自己
